,Label,Area,intensity_mean_fluor,mean_chi2,mean_tau,min_fluor,min_chi2,min_tau,STD_fluor,STD_chi2,STD_tau,File Name,ph,Date,selected_analysis
98,99,62.0,442.01612903225805,111.38709677419355,1320.032258064516,292.0,86.0,617.0,41.6906781316894,11.004918018937625,348.0939791410589,3,75,2023-10-12,analyze_single_fitted_channel
99,100,127.0,304.4488188976378,101.76377952755905,1411.2047244094488,240.0,78.0,651.0,31.647842946588415,10.773587338503749,365.96857441315217,3,75,2023-10-12,analyze_single_fitted_channel
101,102,47.0,380.1063829787234,109.02127659574468,1486.8297872340424,362.0,90.0,756.0,9.467152715266526,9.703014143898088,360.8368122436616,3,75,2023-10-12,analyze_single_fitted_channel
107,108,179.0,312.5027932960894,103.8659217877095,1484.340782122905,224.0,78.0,667.0,42.20571783414922,11.571198622360981,386.42502877266907,3,75,2023-10-12,analyze_single_fitted_channel
114,115,62.0,478.4193548387097,114.5,1371.2903225806451,428.0,90.0,852.0,16.221797747611454,14.668102324651667,341.577478439834,3,75,2023-10-12,analyze_single_fitted_channel
116,117,95.0,540.0947368421052,117.67368421052632,1416.8842105263159,320.0,92.0,707.0,59.58718931275334,11.611647605348834,299.04831023758635,3,75,2023-10-12,analyze_single_fitted_channel
119,120,68.0,586.0441176470588,118.07352941176471,1355.7794117647059,496.0,86.0,803.0,36.394664211186,10.689902019677795,287.46768849570856,3,75,2023-10-12,analyze_single_fitted_channel
121,122,100.0,409.4,111.73,1472.42,321.0,81.0,674.0,38.22538423613293,13.610183687224797,369.2354852935996,3,75,2023-10-12,analyze_single_fitted_channel
122,123,64.0,642.921875,119.875,1480.171875,593.0,95.0,964.0,33.66392017404353,12.739579074679037,318.0304404989943,3,75,2023-10-12,analyze_single_fitted_channel
124,125,58.0,591.6551724137931,119.32758620689656,1615.603448275862,554.0,91.0,826.0,20.294004315983823,11.990496137436462,302.6793534792093,3,75,2023-10-12,analyze_single_fitted_channel
